item_id,MAE,RMSE,MASE,Model
FOODS_1_204,2.2782,2.6694,1.5772,Prophet
FOODS_1_206,1.813,2.405,0.7417,Prophet
FOODS_1_217,2.2421,2.8929,0.8648,Prophet
FOODS_1_218,6.2316,7.6731,1.2192,Prophet
FOODS_1_219,1.9682,2.4808,1.1071,Prophet
FOODS_1_004,2.6534,3.2415,1.1555,Seq2Seq
FOODS_1_012,1.9296,2.3528,0.8015,Seq2Seq
FOODS_1_018,4.2476,5.4069,0.7964,Seq2Seq
FOODS_1_019,5.7988,6.5368,0.8155,Seq2Seq
FOODS_1_021,1.662,1.7581,4.4874,Seq2Seq
FOODS_1_032,2.6656,4.6018,0.7126,Seq2Seq
FOODS_1_036,1.1996,1.4673,0.8997,Seq2Seq
FOODS_1_040,2.1397,2.3107,1.2292,Seq2Seq
FOODS_1_042,2.3535,2.7402,0.9345,Seq2Seq
FOODS_1_043,7.2054,8.3857,1.4628,Seq2Seq
FOODS_1_044,1.3914,1.8669,0.9392,Seq2Seq
FOODS_1_045,1.9781,2.3281,0.9208,Seq2Seq
FOODS_1_046,3.2406,3.7652,0.8102,Seq2Seq
FOODS_1_054,1.8582,2.8038,0.5973,Seq2Seq
FOODS_1_055,3.6948,6.5743,0.6395,Seq2Seq
FOODS_1_058,2.1625,2.9801,1.0426,Seq2Seq
FOODS_1_067,2.4648,3.6769,0.8757,Seq2Seq
FOODS_1_082,2.7737,3.2796,0.6627,Seq2Seq
FOODS_1_085,4.3877,5.1351,0.7898,Seq2Seq
FOODS_1_086,4.1045,4.5999,0.8866,Seq2Seq
FOODS_1_087,1.7209,2.1168,0.7148,Seq2Seq
FOODS_1_099,3.5795,4.3853,0.8054,Seq2Seq
FOODS_1_104,1.6858,2.1856,1.0115,Seq2Seq
FOODS_1_110,5.7689,6.653,1.9969,Seq2Seq
FOODS_1_112,1.4658,2.0692,1.1993,Seq2Seq
FOODS_1_113,2.8929,4.244,1.07,Seq2Seq
FOODS_1_120,1.1052,1.5697,0.5851,Seq2Seq
FOODS_1_130,1.2283,1.6078,0.6768,Seq2Seq
FOODS_1_137,2.2803,3.0564,0.9931,Seq2Seq
FOODS_1_139,2.5592,3.0159,0.8747,Seq2Seq
FOODS_1_153,2.3275,2.7419,1.0474,Seq2Seq
FOODS_1_154,2.1841,2.6431,0.9995,Seq2Seq
FOODS_1_161,2.4574,2.8273,1.2287,Seq2Seq
FOODS_1_162,1.4382,1.6915,0.6695,Seq2Seq
FOODS_1_163,0.9803,1.069,1.6543,Seq2Seq
FOODS_1_166,1.3127,1.562,0.6444,Seq2Seq
FOODS_1_170,2.4184,3.1516,0.8266,Seq2Seq
FOODS_1_172,1.1176,1.4957,0.8155,Seq2Seq
FOODS_1_173,2.4429,3.627,0.6466,Seq2Seq
FOODS_1_181,1.4768,1.7396,0.725,Seq2Seq
FOODS_1_183,1.3285,1.674,0.9963,Seq2Seq
FOODS_1_184,1.2733,1.4761,1.109,Seq2Seq
FOODS_1_194,1.5042,1.8034,1.1604,Seq2Seq
